document_name,ad_id,ad_text,ad_landing_page,ad_impressions,ad_clicks,ad_spend,ad_creation_date,target_age,target_location,target_language,target_pplwhomatch,ad_targeting_fulltext
./pdfs/P(1)0000019.pdf,42,"If we ever forget that we are One Nation Under God, then we will be a nation
                                         gone under. Ronald Reagan",https://www.facebook.com/Bat-240131319678646/,"22,608",266,"6,015.85 RUB",06/15/16 04:02:09 AM PDT,18 - 65+,Living In: United States: Ohio; Tennessee; Virginia,NA,": Politics: US politics (conservative), US politics (very
                                         conservative) or Likely to engage with political content (conservative)","Location - Living In: United States: Ohio; Tennessee; Virginia Age: 18 - 65+ Placements: Instagram Feed People Who Match: Politics: US politics (conservative), US politics (very conservative) or Likely to engage with political content (conservative)"
./pdfs/P(1)0000020.pdf,"48
              Ad Landing Page https://www.facebook.com/pages/Proud-Blacks/1065511110127506
                    Ad Targeting Location - Living In: United States
                                         Age: 18 - 65+
                                         Placements: News Feed on desktop computers or News Feed on mobile
                                         devices
                 Ad Impressions 0
                         Ad Clicks 0
                        Ad Spend 0.00
              Ad Creation Date 08/13/15 03: 30: 11 AM PDT
                    Ad End Date 08/14/15 03: 30: 11 AM PDT
Redactions Completed at the Direction of Ranking Member
of the US House Permanent Select Committee on Intelligence                                                 P(1 )0000020",Ad ID 48,https://www.facebook.com/pages/Proud-Blacks/1065511110127506,0,0,0.00,08/13/15 03: 30: 11 AM PDT Ad End Date 08/14/15 03: 30: 11 AM PDT,18 - 65+,Living In: United States,NA,"Ad ID 48
              Ad Landing Page https://www.facebook.com/pages/Proud-Blacks/1065511110127506
                    Ad Targeting Location - Living In: United States
                                         Age: 18 - 65+
                                         Placements: News Feed on desktop computers or News Feed on mobile
                                         devices",Location - Living In: United States Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices
./pdfs/P(1)0000022.pdf,50,"Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County
                                          probation officers brutalize teen in detention center. Fox News Hosts Believe
                                         Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts declare that
                                         the shooting was motivated by religious hatred towards Christians, but not
                                         racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A
                                          mobile police officer fatally shot a 19-year-old black teen, Michael Moore,
                                         during a traffic stop Monday, June 13 in Toulminville, Alabama. Black Matters",https:Hblackmattersus.com/,"92,618","6,555","13,458.49 RUB","06/21/16 07:09:02 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",18 - 65+,Location: United States,English (UK)or English (US),"Ad ID 50
                            Ad Text Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County
                                          probation officers brutalize teen in detention center. Fox News Hosts Believe
                                         Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts declare that
                                         the shooting was motivated by religious hatred towards Christians, but not
                                         racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A
                                          mobile police officer fatally shot a 19-year-old black teen, Michael Moore,
                                         during a traffic stop Monday, June 13 in Toulminville, Alabama. Black Matters
                Ad Landing Page https:Hblackmattersus.com/
                     Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                          Location: United States
                                         Age: 18 - 65+
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers, Third-party Apps and
                                         Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 18 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000024.pdf,51,"Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
                                         County probation officers brutalize teen in detention center. Fox News Hosts
                                          Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts
                                         declare that the shooting was motivated by religious hatred towards
                                         Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
                                          Holding Cellphone A mobile police officer fatally shot a 19-year-old black
                                         teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
                                         Alabama. Black Matters","https://blackmattersus.com/?utm_source=facebook&utm_medium=cpc&utm_
                                         campaign=paid","12,653",393,"1,168.31 RUB","07/06/16 07:18:32 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",18 - 65+,Location: United States,English (UK)or English (US),"Ad ID 51
                            Ad Text Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
                                         County probation officers brutalize teen in detention center. Fox News Hosts
                                          Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts
                                         declare that the shooting was motivated by religious hatred towards
                                         Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
                                          Holding Cellphone A mobile police officer fatally shot a 19-year-old black
                                         teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
                                         Alabama. Black Matters
                Ad Landing Page https://blackmattersus.com/?utm_source=facebook&utm_medium=cpc&utm_
                                         campaign=paid
                     Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                          Location: United States
                                         Age: 18 - 65+
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers, Third-party Apps and
                                         Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 18 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000026.pdf,63,"Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
                                         County probation officers brutalize teen in detention center. Fox News Hosts
                                          Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts
                                         declare that the shooting was motivated by religious hatred towards
                                         Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
                                          Holding Cellphone A mobile police officer fatally shot a 19-year-old black
                                         teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
                                         Alabama. Black Matters",https://blackmattersus.com/,0,0,0.00,"06/21/16 07:08:44 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",18 - 65+,Location: United States,English (UK)or English (US),"Ad ID 63
                            Ad Text Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
                                         County probation officers brutalize teen in detention center. Fox News Hosts
                                          Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts
                                         declare that the shooting was motivated by religious hatred towards
                                         Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
                                          Holding Cellphone A mobile police officer fatally shot a 19-year-old black
                                         teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
                                         Alabama. Black Matters
                Ad Landing Page https://blackmattersus.com/
                     Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                          Location: United States
                                         Age: 18 - 65+
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers, Third-party Apps and
                                         Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 18 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000028.pdf,75,"Black Community! We finally made a website! News about black racial and
                                         social issues. Get breaking news and analysis on the life of African American
                                         community in the US. Black Matters Hillary Doesn't Deserve Black Votes
                                         Young black voters give up on Mrs. Clinton Outraged Flint Resident: ""Lawsuit
                                          Must Be Filed Against State!"" Flint Water Crisis touched the feelings of all
                                         Americans and the whole world. Justice For Aiyana Jones Rally The tragic
                                         death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
                                          police officer 4 Officers, Who Shot Jeremy McDole, Won't Face State
                                         charges, Family Protests In Wilmington Friday The tragic alleged murder of
                                         Jeremy McDole happened last September after he had been ""robbed and
                                         shot by an unknown robber,"" Black Girl Gets Rope Burns During A Camping
                                         Trip When Sandy Rougely's 12-year-old daughter returned from a one day
                                         camping trip on April 28, Sandy was shocked to see a horrible rope burn on
                                         the front side of the kid's neck. Black Matters",https:Hblackmattersus.com/,0,0,None,05/23/16 08:02:51 AM PDT,18 - 54,Location: United States,English (UK)or English (US),": Behaviors: African American (US)
                                         And Must Also Match: Interests: BlackNews.com or HuffPost Black Voices",Location: United States Friends of connections: Friends of people who are connected to Black Matters Age: 18 - 54 Language: English (UK)or English (US) Placements: Third-party Apps and Websites on mobile devices or News Feed on mobile devices People Who Match: Behaviors: African American (US) And Must Also Match: Interests: BlackNews.com or HuffPost Black Voices
./pdfs/P(1)0000030.pdf,76,"Black Community! We finally made a website! News about black racial and
                                         social issues. Get breaking news and analysis on the life of African American
                                         community in the US. Black Matters Hillary Doesn't Deserve Black Votes
                                         Young black voters give up on Mrs. Clinton Outraged Flint Resident: ""Lawsuit
                                          Must Be Filed Against State!"" Flint Water Crisis touched the feelings of all
                                         Americans and the whole world. Justice For Aiyana Jones Rally The tragic
                                         death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
                                          police officer 4 Officers, Who Shot Jeremy McDole, Won't Face State
                                         charges, Family Protests In Wilmington Friday The tragic alleged murder of
                                         Jeremy McDole happened last September after he had been ""robbed and
                                         shot by an unknown robber,"" Black Matters",https:Hblackmattersus.com/,"89,836","3,402","14,182.61 RUB",05/24/16 12:19:06 AM PDT,18 - 54,Location: United States,English (UK)or English (US),": Behaviors: African American (US)
                                         And Must Also Match: Interests: BlackNews.com or HuffPost Black Voices",Location: United States Friends of connections: Friends of people who are connected to Black Matters Age: 18 - 54 Language: English (UK)or English (US) Placements: Third-party Apps and Websites on mobile devices or News Feed on mobile devices People Who Match: Behaviors: African American (US) And Must Also Match: Interests: BlackNews.com or HuffPost Black Voices
./pdfs/P(1)0000032.pdf,77,"Black Community! We finally made a website! News about black racial and
                                         social issues. Get breaking news and analysis on the life of African American
                                         community in the US. Black Matters Hillary Doesn't Deserve Black Votes
                                         Young black voters give up on Mrs. Clinton Outraged Flint Resident: ""Lawsuit
                                          Must Be Filed Against State!"" Flint Water Crisis touched the feelings of all
                                         Americans and the whole world. Justice For Aiyana Jones Rally The tragic
                                         death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
                                          police officer 4 Officers, Who Shot Jeremy McDole, Won't Face State
                                         charges, Family Protests In Wilmington Friday The tragic alleged murder of
                                         Jeremy McDole happened last September after he had been ""robbed and
                                         shot by an unknown robber,"" Black Matters",https:Hblackmattersus.com/,0,0,0.00,06/16/16 01:21:05 AM PDT,18 - 54,Location: United States,English (UK)or English (US),": Multicultural Affinity: African American (US)
                                         And Must Also Match: Interests: Black Tea Patriots, Black Knowledge,
                                         BlackNews.com or HuffPost Black Voices","Location: United States Friends of connections: Friends of people who are connected to Black Matters Age: 18 - 54 Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices People Who Match: Multicultural Affinity: African American (US) And Must Also Match: Interests: Black Tea Patriots, Black Knowledge, BlackNews.com or HuffPost Black Voices"
./pdfs/P(1)0000034.pdf,97,"Get breaking news and analysis on the life of African American community in
                                   the US. Black Matters Black Matters This Is What Being ""Confident In Ones
                                   Blackness"" Means To Some White Conservatives Black Matters Life
                                   Expectancy For Black Americans Increase Black Matters Police Brutality
                                   Videos Change How Black Men Live Black Matters",https://blackmattersus.com/,"74,257","2,603","5,241.60 RUB",05/10/16 07:26:47 AM PDT,16 - 65+,Location: United States,English (UK)or English (US),: Multicultural Affinity: African American (US),"Location: United States Age: 16 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices People Who Match: Multicultural Affinity: African American (US)"
./pdfs/P(1)0000036.pdf,98,"Get breaking news and analysis on the life of African American community in
                                   the US. Black Matters Black Matters This Is What Being ""Confident In Ones
                                   Blackness"" Means To Some White Conservatives Black Matters Life
                                   Expectancy For Black Americans Increase Black Matters Police Brutality
                                   Videos Change How Black Men Live Black Matters",https://blackmattersus.com/,0,0,0.00,"06/23/16 06:07:51 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",16 - 65+,Location: United States,English (UK)or English (US),"Ad ID 98
                      Ad Text Get breaking news and analysis on the life of African American community in
                                   the US. Black Matters Black Matters This Is What Being ""Confident In Ones
                                   Blackness"" Means To Some White Conservatives Black Matters Life
                                   Expectancy For Black Americans Increase Black Matters Police Brutality
                                   Videos Change How Black Men Live Black Matters
           Ad Landing Page https://blackmattersus.com/
                Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                   Location: United States
                                   Age: 16 - 65+
                                   Language: English (UK)or English (US)
                                   Placements: News Feed on desktop computers, Third-party Apps and
                                   Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 16 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000038.pdf,99,"Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters Black Matters",https://blackmattersus.com/,0,0,0.00,"06/23/16 06:11:47 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",16 - 65+,Location: United States,English (UK)or English (US),"Ad ID 99
                            Ad Text Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters Black Matters
                Ad Landing Page https://blackmattersus.com/
                     Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                          Location: United States
                                         Age: 16 - 65+
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers, Third-party Apps and
                                         Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 16 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000040.pdf,109,"Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters Justice? I don't think so! Black Matters",https://blackmattersus.com/,"34,545","2,218","3,525.68 RUB","06/23/16 06:05:12 AM PDT Ad Custom Includes: Lookalike(US, 1 %)- newtestaudit Audience Name",18 - 65+,Location: United States,English (UK)or English (US),"Ad ID 109
                            Ad Text Get breaking news and analysis on the life of African American community in
                                         the US. Black Matters Justice? I don't think so! Black Matters
                Ad Landing Page https://blackmattersus.com/
                     Ad Targeting Custom Audience: Lookalike(US, 1%)- newtestaudit
                                          Location: United States
                                         Age: 18 - 65+
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers, Third-party Apps and
                                         Websites on mobile devices or News Feed on mobile devices","Custom Audience: Lookalike(US, 1%)- newtestaudit Location: United States Age: 18 - 65+ Language: English (UK)or English (US) Placements: News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices"
./pdfs/P(1)0000042.pdf,112,Get breaking news of African American community in the US!,https://www.facebook.com/Black-Matters-1579673598947501/,"3,086",117,271.00 RUB,04/12/16 07:44:27 AM PDT,16 - 54,Location: United States,English (UK)or English (US),": Interests: BlackNews.com or HuffPost Black Voices,
                                          Multicultural Affinity: African American (US)","Location: United States Age: 16 - 54 Language: English (UK)or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: Interests: BlackNews.com or HuffPost Black Voices, Multicultural Affinity: African American (US)"
./pdfs/P(1)0000044.pdf,216,"An unarmed black man who was shot by two officers in Florida in 2013 has
                                          been compensated by the state, through the effort of the Black Lives Matter.
                                          Fusion reported that the now-paralyzed Dontrell Stephens, the unarmed black
                                          man who was shot in Florida during traffic stop in September 2013, by Sgt.
                                         Adams Lin Black Man Shot By Police Receives $23M Settlement Because of
                                          BLM I Black Matters Black Matters",https://www.facebook.com/Black-Matters-1579673598947501/,13.936,2.116,1.000.00 RUB,04/14/16 01:21:30 AM PDT Ad End Date 04/16/16 01:21:29 AM PDT,18 - 65+,Living In: United States,NA,": People who like Black Matters. Friends of connections:
                                          Friends of people who are connected to Black Matters",Location - Living In: United States Age: 18 - 65+ Placements News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters
./pdfs/P(1)0000045.pdf,230,"Nine Black Lives Matter protesters were arrested after a counter-protest at a
                                         ""pro-white"" rally, organized by members of Ku Klux Klan in Georgia. A white-
                                          power rally was held over the weekend by members of KKK, Aryan Nation
                                         sects and other white supremacist groups to celebrate the Confederate
                                          Memorial Day BLM Members Arrested For Counter-Protest Against ""White-
                                         Power Rally In Georgia I Black Matters Black Matters","https://blackmattersus.com/7167-blm-members-arrested-for-counter-protest-
                                         against-white-power-rally-in-georgic/",19.309,2.252,"2,548.82 RUB",04/25/16 05:25:19 AM PDT Ad End Date 04/27/16 05:25:19 AM PDT,18 - 65+,Living In: United States,NA,": People who like Black Matters. Friends of connections:
                                          Friends of people who are connected to Black Matters",Location - Living In: United States Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters
./pdfs/P(1)0000046.pdf,239,"The teachers responsible for such a cruel and inhumane punishment of child
                                         should be fired and never allowed to teach again. A Georgian woman is
                                         furious after a teacher punished her 5-year-old special needs grandson by
                                          making him hang by his belt from a loop on the top of a chalkboard Teachers
                                          Hung 5-Year-Old Black Special Needs Boy By Belt From Top Of Chalkboard
                                          Black Matters Black Matters",https://www.facebook.com/Black-Matters-1579673598947501/,19,1,2.64 RUB,05/06/16 03:35:04 AM PDT Ad End Date 05/07/16 03:35:04 AM PDT,18 - 54,Location: United States,English (UK)or English (US),"Ad ID 239
                            Ad Text The teachers responsible for such a cruel and inhumane punishment of child
                                         should be fired and never allowed to teach again. A Georgian woman is
                                         furious after a teacher punished her 5-year-old special needs grandson by
                                          making him hang by his belt from a loop on the top of a chalkboard Teachers
                                          Hung 5-Year-Old Black Special Needs Boy By Belt From Top Of Chalkboard
                                          Black Matters Black Matters
                Ad Landing Page https://www.facebook.com/Black-Matters-1579673598947501/
                     Ad Targeting Location: United States
                                         Interests: BlackNews.com or HuffPost Black Voices
                                          Behaviors: African American (US)
                                         Excluded Connections: Exclude people who like Black Matters
                                         Age: 18 - 54
                                         Language: English (UK)or English (US)
                                         Placements: News Feed on desktop computers or News Feed on mobile
                                         devices",Location: United States Interests: BlackNews.com or HuffPost Black Voices Behaviors: African American (US) Excluded Connections: Exclude people who like Black Matters Age: 18 - 54 Language: English (UK)or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices
